,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_Latinx,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_Latinx,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Hosp_Total,Hosp_White,Hosp_Black,Hosp_Latinx,Hosp_Asian,Hosp_AIAN,Hosp_NHPI,Hosp_Multiracial,Hosp_Other,Hosp_Unknown,Hosp_Ethnicity_Hispanic,Hosp_Ethnicity_NonHispanic,Hosp_Ethnicity_Unknown,Tests_Total,Tests_White,Tests_Black,Tests_Latinx,Tests_Asian,Tests_AIAN,Tests_NHPI,Tests_Multiracial,Tests_Other,Tests_Unknown,Tests_Ethnicity_Hispanic,Tests_Ethnicity_NonHispanic,Tests_Ethnicity_Unknown
11,2021-03-07,GA,1023487.0,319208.0,216068.0,85460.0,17888.0,504.0,746.0,0.0,36133.0,347480.0,85460.0,501639.0,436388.0,17906.0,8939.0,5282.0,852.0,298.0,10.0,10.0,0.0,78.0,2437.0,852.0,14534.0,2520.0,56797.0,24335.0,22046.0,6155.0,1029.0,20.0,69.0,0.0,1076.0,2067.0,6155.0,46118.0,4524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-03-07,GU,7749.0,418.0,0.0,0.0,2276.0,0.0,3993.0,0.0,435.0,627.0,0.0,0.0,7748.0,133.0,3.0,0.0,0.0,33.0,0.0,79.0,0.0,4.0,14.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-03-07,HI,27891.0,3646.0,580.0,0.0,6068.0,0.0,8008.0,0.0,1035.0,8554.0,0.0,0.0,27891.0,445.0,40.0,4.0,0.0,244.0,0.0,137.0,0.0,6.0,14.0,0.0,0.0,445.0,2226.0,151.0,15.0,0.0,521.0,0.0,660.0,0.0,38.0,841.0,0.0,0.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2021-03-07,IA,339671.0,200406.0,10190.0,0.0,3397.0,888.0,824.0,0.0,2379.0,121587.0,20380.0,190216.0,129075.0,5558.0,5154.0,134.0,0.0,61.0,19.0,16.0,0.0,47.0,127.0,138.0,5420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-03-07,ID,172931.0,99914.0,1008.0,0.0,1219.0,2054.0,409.0,0.0,13191.0,55136.0,17344.0,73958.0,81629.0,1879.0,1761.0,9.0,0.0,17.0,35.0,0.0,0.0,41.0,16.0,186.0,1682.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-03-07,IL,1198335.0,470333.0,110701.0,219967.0,27074.0,1492.0,1125.0,0.0,41054.0,326589.0,219967.0,651779.0,326589.0,23014.0,12202.0,3668.0,3291.0,737.0,26.0,20.0,0.0,120.0,2950.0,3291.0,16773.0,2950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18640190.0,6066122.0,1362411.0,1263482.0,720684.0,15305.0,18976.0,0.0,534214.0,8658996.0,1263482.0,8717712.0,8658996.0
17,2021-03-07,IN,667262.0,452265.0,44471.0,0.0,8987.0,0.0,0.0,0.0,72744.0,88795.0,38378.0,350560.0,278324.0,12737.0,9096.0,939.0,0.0,70.0,0.0,0.0,0.0,1591.0,1041.0,275.0,6823.0,5639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3150418.0,2172766.0,239719.0,0.0,59652.0,0.0,0.0,0.0,381330.0,296951.0,121315.0,1536679.0,1492424.0
18,2021-03-07,KS,295861.0,209752.0,14330.0,0.0,5525.0,2074.0,0.0,0.0,12197.0,51983.0,39177.0,182461.0,74223.0,4812.0,3721.0,235.0,0.0,64.0,38.0,0.0,0.0,245.0,509.0,310.0,3795.0,707.0,9387.0,7118.0,752.0,0.0,173.0,67.0,0.0,0.0,623.0,654.0,1350.0,7167.0,870.0,1270547.0,806291.0,61246.0,0.0,24634.0,8140.0,0.0,0.0,45244.0,324992.0,95804.0,699286.0,475457.0
19,2021-03-07,KY,410709.0,286431.0,26883.0,0.0,3680.0,833.0,374.0,16253.0,0.0,76255.0,17452.0,300330.0,92927.0,4819.0,3981.0,371.0,0.0,23.0,4.0,2.0,118.0,0.0,320.0,73.0,4219.0,527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2021-03-07,LA,433785.0,218332.0,136460.0,0.0,16684.0,1527.0,492.0,0.0,34552.0,25738.0,0.0,0.0,433785.0,9748.0,5798.0,3723.0,0.0,75.0,15.0,13.0,0.0,39.0,85.0,238.0,8966.0,544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2021-03-07,MA,591356.0,219467.0,35342.0,125873.0,16039.0,504.0,156.0,0.0,47605.0,146370.0,125873.0,319113.0,146370.0,16417.0,12022.0,1069.0,1289.0,414.0,11.0,5.0,0.0,1373.0,234.0,1289.0,14894.0,234.0,19713.0,10414.0,1900.0,3041.0,709.0,10.0,7.0,0.0,1957.0,1675.0,3041.0,14997.0,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2021-03-07,MD,387319.0,134697.0,112033.0,62261.0,8867.0,0.0,0.0,0.0,18321.0,51140.0,62261.0,273918.0,51140.0,7955.0,4078.0,2736.0,727.0,277.0,0.0,0.0,0.0,80.0,57.0,727.0,7171.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-03-07,ME,45794.0,36271.0,2252.0,0.0,502.0,139.0,26.0,178.0,907.0,5519.0,695.0,31103.0,13996.0,706.0,602.0,10.0,0.0,3.0,5.0,0.0,1.0,6.0,79.0,6.0,491.0,209.0,1570.0,1359.0,63.0,0.0,22.0,7.0,0.0,3.0,30.0,86.0,22.0,1354.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
