Location,2020,2021,2022
"Floyd, IN",56726,59555,61081
"Fountain, IN",45108,49947,50737
"Franklin, IN",51070,55807,55675
"Fulton, IN",45726,49709,50077
"Gibson, IN",50457,53942,54959
"Grant, IN",42422,46964,48108
"Greene, IN",45884,50263,50930
"Hamilton, IN",80436,89933,95757
"Hancock, IN",55304,59088,61585
"Harrison, IN",48601,52801,54202
"Hendricks, IN",53266,57743,60249
"Henry, IN",42307,46087,46443
"Howard, IN",43810,47388,47388
"Huntington, IN",45097,50249,51337
"Jackson, IN",44029,48308,49379
"Jasper, IN",50858,56179,58136
"Jay, IN",42177,48826,53916
"Jefferson, IN",46904,50327,51433
"Jennings, IN",44581,48764,49178
"Johnson, IN",52360,57081,59315
"Knox, IN",49319,53820,54099
"Kosciusko, IN",52076,56544,57607
"Lagrange, IN",44600,52797,55816
"Lake, IN",47778,52471,53127
"LaPorte, IN",44985,49144,49992
"Lawrence, IN",46721,51546,52325
"Madison, IN",42202,46081,46466
"Marion, IN",59825,66315,66500
"Marshall, IN",46433,51486,52624
"Martin, IN",45029,49831,52671
"Miami, IN",37172,40779,40333
"Monroe, IN",48509,52696,54400
"Montgomery, IN",44562,49291,49943
"Morgan, IN",47587,52275,53657
"Newton, IN",45732,51110,51694
"Noble, IN",43960,48780,50189
"Ohio, IN",49337,53339,54446
"Orange, IN",40546,44026,45724
"Owen, IN",44409,48734,49407
"Parke, IN",43531,48238,50080
"Perry, IN",39659,43645,44250
"Pike, IN",44606,47191,47625
"Porter, IN",56244,61224,63557
"Posey, IN",55526,58380,59170
"Pulaski, IN",49065,54017,55004
"Putnam, IN",42481,46501,47295
"Randolph, IN",43306,50836,51450
"Ripley, IN",46017,50708,50456
"Rush, IN",48831,54845,55087
"St. Joseph, IN",50076,55326,56688
"Scott, IN",41138,44254,44229
"Shelby, IN",47164,51575,52401
"Spencer, IN",49103,53725,54253
"Starke, IN",38021,41917,41967
"Steuben, IN",48261,53605,54649
"Sullivan, IN",39032,43276,43134
"Switzerland, IN",38785,41531,41606
"Tippecanoe, IN",42526,46246,47398
"Tipton, IN",48954,51621,51703
"Union, IN",43886,48718,48664
"Vanderburgh, IN",50628,55389,56585
"Vermillion, IN",42418,45860,45773
"Vigo, IN",42200,45793,45975
"Wabash, IN",46262,51720,52006
"Warren, IN",48475,52936,53430
"Warrick, IN",61644,66353,68264
"Washington, IN",42808,47813,49637
"Wayne, IN",45287,49075,49570
"Wells, IN",45983,50851,51343
"White, IN",47244,52011,52633
"Whitley, IN",49743,53858,55193
"Adair, IA",53544,64783,67668
"Adams, IA",52390,64345,67657
"Allamakee, IA",48637,53536,55015
"Appanoose, IA",42785,47001,47779
"Audubon, IA",51290,64561,69105
"Benton, IA",55725,63400,69430
"Black Hawk, IA",49252,52431,53471
"Boone, IA",49639,53520,54062
"Bremer, IA",52852,57634,59542
"Buchanan, IA",50957,57628,60057
"Buena Vista, IA",44294,49269,54341
"Butler, IA",48423,57331,60085
"Calhoun, IA",49148,59532,64280
"Carroll, IA",54473,60497,64755
"Cass, IA",49689,56698,59063
"Cedar, IA",55521,62671,65324
"Cerro Gordo, IA",52333,61338,67777
"Cherokee, IA",54212,67753,83241
"Chickasaw, IA",56429,73064,89185
"Clarke, IA",42831,45760,48316
"Clay, IA",53601,59372,61974
"Clayton, IA",54208,60701,64520
"Clinton, IA",47396,51474,52629
"Crawford, IA",44377,52996,54711
"Dallas, IA",70783,76813,79938
"Davis, IA",40207,45895,51702
"Decatur, IA",39004,43444,44532
"Delaware, IA",51953,57849,60949
"Des Moines, IA",53868,58622,60617
"Dickinson, IA",62621,71287,74159
"Dubuque, IA",52804,58027,60090
"Emmet, IA",44636,51398,54119
"Fayette, IA",45853,50665,52666
"Floyd, IA",48695,56206,59242
"Franklin, IA",48951,61597,65001
"Fremont, IA",53107,61317,62532
"Greene, IA",50930,59990,61809
"Grundy, IA",54358,62645,65201
"Guthrie, IA",57727,65315,68017
"Hamilton, IA",49508,58746,63592
"Hancock, IA",50960,61665,66602
"Hardin, IA",48765,61183,68981
"Harrison, IA",48510,55926,58283
"Henry, IA",45115,49339,50108
"Howard, IA",49253,59877,63152
"Humboldt, IA",50063,57179,60563
"Ida, IA",54393,68789,76977
"Iowa, IA",54833,59734,60646
"Jackson, IA",48820,53974,55537
"Jasper, IA",45513,50197,50521
"Jefferson, IA",48566,53380,54979
"Johnson, IA",56435,60934,62302
"Jones, IA",47422,52356,53581
"Keokuk, IA",47919,54532,55331
"Kossuth, IA",51038,63200,66517
"Lee, IA",46428,49412,49927
"Linn, IA",55321,59685,60928
"Louisa, IA",46612,51581,52933
"Lucas, IA",44635,48360,49289
"Lyon, IA",56584,65527,71805
"Madison, IA",52843,57314,58339
"Mahaska, IA",45319,50087,51311
"Marion, IA",52773,57927,59714
"Marshall, IA",45331,48899,48756
"Mills, IA",61390,67227,70833
"Mitchell, IA",57415,75311,96075
"Monona, IA",47254,57226,60488
"Monroe, IA",49359,53781,54947
"Montgomery, IA",43668,48838,50343
"Muscatine, IA",50498,53470,54297
"O'Brien, IA",54017,60762,64968
"Osceola, IA",47474,57362,65405
"Page, IA",45473,52360,53235
"Palo Alto, IA",47537,58036,65080
"Plymouth, IA",56546,63028,67398
"Pocahontas, IA",47797,59043,63470
"Polk, IA",57284,61908,62653
"Pottawattamie, IA",47560,51378,52369
"Poweshiek, IA",47469,53043,56228
"Ringgold, IA",49644,57890,57345
"Sac, IA",54394,67441,77933
"Scott, IA",56697,61380,63064
"Shelby, IA",52680,63076,66542
"Sioux, IA",54447,59185,67349
"Story, IA",44838,48421,49748
"Tama, IA",48887,56917,57918
"Taylor, IA",45769,55629,57591
"Union, IA",43427,49179,50034
"Van Buren, IA",41122,47167,47996
"Wapello, IA",42489,45210,45795
"Warren, IA",54580,59397,60515
"Washington, IA",58654,71324,78929
"Wayne, IA",44373,52356,53155
"Webster, IA",46570,51407,53508
"Winnebago, IA",43900,51433,55013
"Winneshiek, IA",54221,59174,61042
"Woodbury, IA",46199,49822,51029
"Worth, IA",44664,53655,55418
"Wright, IA",47067,57903,70420
"Allen, KS",44503,48367,46726
"Anderson, KS",44783,54564,47195
"Atchison, KS",41948,44558,42910
"Barber, KS",49767,54329,50519
"Barton, KS",50775,53073,55270
"Bourbon, KS",45170,48308,49749
"Brown, KS",48624,51797,47205
"Butler, KS",50073,52247,53632
"Chase, KS",57674,60498,59348
"Chautauqua, KS",41423,43868,41861
"Cherokee, KS",47248,51304,52464
"Cheyenne, KS",55686,66687,54530
"Clark, KS",57388,55860,58135
"Clay, KS",47226,52127,47517
"Cloud, KS",44388,47564,44536
"Coffey, KS",57129,59522,55623
"Comanche, KS",46115,50363,43400
"Cowley, KS",41969,43483,43664
"Crawford, KS",43056,45203,45340
"Decatur, KS",54034,57957,60732
"Dickinson, KS",46165,49309,47397
"Doniphan, KS",46521,51252,47117
"Douglas, KS",48676,51852,52799
"Edwards, KS",60719,69453,58536
"Elk, KS",40883,43195,39811
"Ellis, KS",50940,54414,56016
"Ellsworth, KS",44864,48229,45694
"Finney, KS",45041,48330,49645
"Ford, KS",44324,47093,47179
"Franklin, KS",46103,49244,48375
"Geary, KS",47866,50749,50324
"Gove, KS",64608,80922,72994
"Graham, KS",54595,61443,51368
"Grant, KS",44558,45691,40684
"Gray, KS",66495,66373,65914
"Greeley, KS",86809,100968,88148
"Greenwood, KS",46327,47809,42891
"Hamilton, KS",75761,72859,79482
"Harper, KS",56357,60523,58307
"Harvey, KS",47458,50317,50772
"Haskell, KS",66122,73925,59322
"Hodgeman, KS",65243,67197,62195
"Jackson, KS",46818,50394,49154
"Jefferson, KS",50114,53748,53560
"Jewell, KS",55310,62428,46694
"Johnson, KS",79088,83008,90503
"Kearny, KS",58493,62102,55390
"Kingman, KS",48941,53186,49785
"Kiowa, KS",51374,55693,43681
"Labette, KS",45584,47777,47816
"Lane, KS",73604,79716,71071
"Leavenworth, KS",46924,49410,50002
"Lincoln, KS",52705,52610,47223
"Linn, KS",45412,47555,45751
"Logan, KS",59476,66462,59864
"Lyon, KS",44176,46871,46789
"McPherson, KS",54911,57500,57557
"Marion, KS",46345,48660,45002
"Marshall, KS",47599,50423,45513
"Meade, KS",67492,76618,69285
"Miami, KS",54189,58344,59222
"Mitchell, KS",69152,68490,63466
"Montgomery, KS",40393,43372,43912
"Morris, KS",50099,52176,49627
"Morton, KS",48720,56565,40869
"Nemaha, KS",58366,61428,59052
"Neosho, KS",43760,46270,45486
"Ness, KS",60930,68014,60994
"Norton, KS",48640,53018,51832
"Osage, KS",46897,49947,48581
"Osborne, KS",51456,56887,49275
"Ottawa, KS",46289,51194,48942
"Pawnee, KS",45689,49260,43956
"Phillips, KS",57768,66420,60487
"Pottawatomie, KS",56879,60383,61738
"Pratt, KS",52106,56892,53260
"Rawlins, KS",66530,79578,76456
"Reno, KS",45508,47483,47727
"Republic, KS",48158,52839,46289
"Rice, KS",47651,49625,48402
"Riley, KS",45640,48851,50261
"Rooks, KS",46030,49653,43120
"Rush, KS",57665,63195,51940
"Russell, KS",50134,54598,52834
"Saline, KS",51212,55070,56999
"Scott, KS",59967,62799,61365
"Sedgwick, KS",53098,57356,59772
"Seward, KS",42190,45745,47415
"Shawnee, KS",50511,53830,55466
"Sheridan, KS",57053,58169,56637
"Sherman, KS",49553,55032,51638
"Smith, KS",55927,64222,54221
"Stafford, KS",49755,51809,47665
"Stanton, KS",84155,90913,77840
"Stevens, KS",50025,54888,50696
"Sumner, KS",43866,47378,45475
"Thomas, KS",49970,55220,54673
"Trego, KS",56100,60865,53707
"Wabaunsee, KS",53796,56877,55871
"Wallace, KS",60126,63589,53062
"Washington, KS",52862,55467,47050
"Wichita, KS",60209,58834,54687
"Wilson, KS",45033,49202,47414
"Woodson, KS",42827,45866,39243
"Wyandotte, KS",36191,38363,38253
"Adair, KY",37567,41143,40549
"Allen, KY",37202,40488,40895
"Anderson, KY",41572,45387,45566
"Ballard, KY",44472,49783,49784
"Barren, KY",40063,43554,42779
"Bath, KY",34438,37846,37167
"Bell, KY",36979,40554,39665
"Boone, KY",53533,57549,58730
"Bourbon, KY",50337,56182,57191
"Boyd, KY",42757,46202,45945
"Boyle, KY",42176,45389,45282
"Bracken, KY",41801,44575,43677
"Breathitt, KY",34940,38890,38326
"Breckinridge, KY",38155,42471,41519
"Bullitt, KY",46371,50450,51198
"Butler, KY",39207,43988,43098
"Caldwell, KY",40285,45161,44661
"Calloway, KY",42030,44871,43984
"Campbell, KY",54457,60170,61635
"Carlisle, KY",46119,54056,53759
"Carroll, KY",41046,45169,46390
"Carter, KY",35782,39157,38473
"Casey, KY",36560,40176,39572
"Christian, KY",40914,44728,42881
"Clark, KY",43653,47818,47562
"Clay, KY",34708,38722,37992
"Clinton, KY",40004,43424,43607
"Crittenden, KY",38425,42516,41566
"Cumberland, KY",47037,50269,49499
"Daviess, KY",46351,49792,49179
"Edmonson, KY",37353,40370,39810
"Elliott, KY",26929,28564,27403
"Estill, KY",36666,39731,38999
"Fayette, KY",55601,58570,59641
"Fleming, KY",38553,41131,40378
"Floyd, KY",39189,43160,43435
"Franklin, KY",45866,49432,49471
"Fulton, KY",35395,41459,41030
"Gallatin, KY",38876,43124,43018
"Garrard, KY",40919,43508,43552
"Grant, KY",41639,45803,45551
"Graves, KY",43031,48525,50193
"Grayson, KY",39021,42057,41583
"Green, KY",40202,42242,40688
"Greenup, KY",44186,47354,47623
"Hancock, KY",40996,49540,53953
"Hardin, KY",48025,52412,52724
"Harlan, KY",34123,38007,37712
"Harrison, KY",41539,43471,42585
"Hart, KY",37044,40199,39663
"Henderson, KY",45039,49595,48905
"Henry, KY",44986,49400,49517
"Hickman, KY",41805,53695,56507
"Hopkins, KY",42193,46453,46836
"Jackson, KY",35150,37453,36774
"Jefferson, KY",56306,63117,64075
"Jessamine, KY",51766,57061,58177
"Johnson, KY",36100,39389,39254
"Kenton, KY",61264,68327,69498
"Knott, KY",36756,41076,40743
"Knox, KY",34963,38425,37196
"Larue, KY",40560,43587,42444
"Laurel, KY",37353,41100,40398
"Lawrence, KY",34586,37852,37953
"Lee, KY",32152,35022,34518
"Leslie, KY",35071,39156,38900
"Letcher, KY",35490,39431,39260
"Lewis, KY",36250,39659,38189
"Lincoln, KY",37259,40185,40008
"Livingston, KY",44001,45864,45791
"Logan, KY",40156,45313,44262
"Lyon, KY",38665,42738,39712
"McCracken, KY",51037,57198,58253
"McCreary, KY",31173,35636,34058
"McLean, KY",41143,49120,51396
"Madison, KY",40444,44092,44350
"Magoffin, KY",38786,42114,41338
"Marion, KY",40521,44091,43553
"Marshall, KY",45603,48096,48444
"Martin, KY",32706,32500,31956
"Mason, KY",43833,49224,48132
"Meade, KY",42902,47011,46812
"Menifee, KY",37480,40555,39714
"Mercer, KY",39267,43489,44293
"Metcalfe, KY",34412,37814,36557
"Monroe, KY",39731,43913,44662
"Montgomery, KY",39862,42600,42403
"Morgan, KY",30828,33802,31709
"Muhlenberg, KY",36600,40806,40189
"Nelson, KY",48163,52944,53328
"Nicholas, KY",37668,39933,39341
"Ohio, KY",36012,39449,40086
"Oldham, KY",67763,74104,76988
"Owen, KY",36300,40100,39525
"Owsley, KY",40959,45763,45178
"Pendleton, KY",46466,50786,51545
"Perry, KY",39236,43103,43108
"Pike, KY",39793,43101,43566
"Powell, KY",34696,37615,37380
"Pulaski, KY",42593,46622,46059
"Robertson, KY",38891,40988,39346
"Rockcastle, KY",37490,40166,39538
"Rowan, KY",34742,37697,37407
"Russell, KY",41984,47186,50836
"Scott, KY",48133,51804,52623
"Shelby, KY",50857,55778,56480
"Simpson, KY",40588,44315,43164
"Spencer, KY",51067,54584,56264
"Taylor, KY",39067,41061,39822
"Todd, KY",41023,47402,47258
"Trigg, KY",42819,46060,44456
"Trimble, KY",44055,47971,48335
"Union, KY",42602,50908,48850
"Warren, KY",41280,44889,46117
"Washington, KY",42690,45655,45188
"Wayne, KY",34551,38046,36768
"Webster, KY",41056,47383,49417
"Whitley, KY",39250,42490,42174
"Wolfe, KY",39180,44703,43814
"Woodford, KY",54791,60593,62468
"Acadia, LA",43949,46156,45671
"Allen, LA",41541,42685,42506
"Ascension, LA",55802,59430,60401
"Assumption, LA",51882,56906,55758
"Avoyelles, LA",42720,45358,43997
"Beauregard, LA",47287,50171,50503
"Bienville, LA",42610,45454,45148
"Bossier, LA",48586,52287,53254
"Caddo, LA",54770,57457,57648
"Calcasieu, LA",46741,51485,51528
"Caldwell, LA",39014,41175,39823
"Cameron, LA",58070,63673,62996
"Catahoula, LA",41008,44596,43187
"Claiborne, LA",40776,43244,44015
"Concordia, LA",39931,42566,41772
"De Soto, LA",47361,52201,53134
"East Baton Rouge, LA",55045,60054,59982
"East Carroll, LA",34664,39065,36012
"East Feliciana, LA",44128,47369,47049
"Evangeline, LA",38488,40588,40227
"Franklin, LA",37497,40432,38874
"Grant, LA",35084,37319,37371
"Iberia, LA",42131,46671,45133
"Iberville, LA",48753,53525,52199
"Jackson, LA",39063,41899,42143
"Jefferson, LA",54778,58750,58692
"Jefferson Davis, LA",45806,46875,48472
"Lafayette, LA",54100,59325,58963
"Lafourche, LA",45827,51350,52324
"LaSalle, LA",36817,37835,37415
"Lincoln, LA",42019,46908,47336
"Livingston, LA",45942,48549,49173
"Madison, LA",40147,44013,42276
"Morehouse, LA",41084,43987,42516
"Natchitoches, LA",44180,48022,49209
"Orleans, LA",55577,62529,61623
"Ouachita, LA",43602,46926,46982
"Plaquemines, LA",51198,55422,55606
"Pointe Coupee, LA",53594,58848,57183
"Rapides, LA",49889,53495,53886
"Red River, LA",49727,53791,54295
"Richland, LA",42760,45016,44221
"Sabine, LA",41561,45073,46947
"St. Bernard, LA",39309,42345,41861
"St. Charles, LA",52667,56796,57667
"St. Helena, LA",45302,47272,45131
"St. James, LA",57383,63816,62685
"St. John the Baptist, LA",44015,46310,45723
"St. Landry, LA",45077,47852,47611
"St. Martin, LA",42485,46190,44910
"St. Mary, LA",44257,48637,46797
"St. Tammany, LA",65486,72939,73697
"Tangipahoa, LA",43882,47748,47512
"Tensas, LA",44208,51503,47240
"Terrebonne, LA",45377,48195,48629
"Union, LA",44103,47052,48882
"Vermilion, LA",44005,47496,46867
"Vernon, LA",44507,47689,47558
"Washington, LA",39371,41881,41376
"Webster, LA",45731,49635,49707
"West Baton Rouge, LA",51626,54767,54895
"West Carroll, LA",41580,42736,41276
"West Feliciana, LA",42183,45329,45693
"Winn, LA",43365,46528,47514
"Androscoggin, ME",45865,48186,49055
"Aroostook, ME",46791,49913,50915
"Cumberland, ME",68583,74836,78012
"Franklin, ME",43676,45839,47120
"Hancock, ME",55551,61049,63357
"Kennebec, ME",50123,54056,55361
"Knox, ME",55815,59336,61897
"Lincoln, ME",54689,59193,61524
"Oxford, ME",42791,45799,46450
"Penobscot, ME",47264,50753,51998
"Piscataquis, ME",45626,49034,49863
"Sagadahoc, ME",54540,59874,62568
"Somerset, ME",43319,46752,47306
"Waldo, ME",47866,51915,54714
"Washington, ME",46121,48771,49500
"York, ME",57737,62833,65074
"Allegany, MD",45121,47424,46293
"Anne Arundel, MD",72194,76926,78889
"Baltimore, MD",63845,67320,67818
"Calvert, MD",67104,68977,70717
"Caroline, MD",47856,53563,55490
"Carroll, MD",65131,69738,71235
"Cecil, MD",52796,55399,56050
"Charles, MD",59941,62069,62942
"Dorchester, MD",49325,55388,55772
"Frederick, MD",65495,69851,72151
"Garrett, MD",49002,53384,52923
"Harford, MD",62146,66172,67473
"Howard, MD",81308,86602,88927
"Kent, MD",63055,69001,69715
"Montgomery, MD",85373,91042,93395
"Prince George's, MD",50197,53317,52756
"Queen Anne's, MD",71124,77927,79866
"St. Mary's, MD",62459,65118,66146
"Somerset, MD",32523,36846,38480
"Talbot, MD",78636,85781,88449
"Washington, MD",49195,53049,53382
"Wicomico, MD",42951,46559,46153
"Worcester, MD",59037,64601,64486
"Baltimore (Independent City), MD",54125,58435,59807
"Barnstable, MA",79606,83891,85317
"Berkshire, MA",61119,64444,64758
"Bristol, MA",60325,63996,64103
"Dukes, MA",84852,85929,87621
"Essex, MA",71952,77593,78205
"Franklin, MA",60460,62928,62944
"Hampden, MA",57736,60710,60312
"Hampshire, MA",63522,59264,59802
"Middlesex, MA",90955,99416,101729
"Nantucket, MA",93597,101412,103033
"Norfolk, MA",95831,105984,109284
"Plymouth, MA",74093,79053,80062
"Suffolk, MA",87433,97172,96933
"Worcester, MA",61287,64477,64829
"Alcona, MI",46209,49942,49420
"Alger, MI",38423,41982,41171
"Allegan, MI",49943,54227,54948
"Alpena, MI",44783,48558,48633
"Antrim, MI",51960,56378,56234
"Arenac, MI",44632,47387,46696
"Baraga, MI",38448,40312,39740
"Barry, MI",49305,53016,54157
"Bay, MI",47030,50367,49667
"Benzie, MI",52454,54451,54784
"Berrien, MI",53645,59719,60311
"Branch, MI",40186,43064,43040
"Calhoun, MI",43593,45582,44904
"Cass, MI",50306,54661,54937
"Charlevoix, MI",58198,64617,66669
"Cheboygan, MI",45511,47642,46687
"Chippewa, MI",39605,43800,42667
"Clare, MI",39625,41227,40146
"Clinton, MI",51423,55662,56814
"Crawford, MI",41680,43337,41537
"Delta, MI",43631,46144,44577
"Dickinson, MI",50727,56024,54831
"Eaton, MI",47613,50778,50934
"Emmet, MI",62269,68593,70109
"Genesee, MI",45384,48161,47564
"Gladwin, MI",42362,44172,43701
"Gogebic, MI",45369,47670,47559
"Grand Traverse, MI",55639,61155,62089
"Gratiot, MI",41458,43946,43159
"Hillsdale, MI",39728,42728,41987
"Houghton, MI",39927,42771,42862
"Huron, MI",51614,56462,56230
"Ingham, MI",46267,51634,49577
"Ionia, MI",37681,40862,40963
"Iosco, MI",43594,46509,45770
"Iron, MI",46460,48893,47997
"Isabella, MI",43262,45590,44825
"Jackson, MI",43423,46886,46409
"Kalamazoo, MI",54818,58792,59619
"Kalkaska, MI",40973,43477,42182
"Kent, MI",59254,65315,66975
"Keweenaw, MI",54033,55497,54933
"Lake, MI",37856,38712,36434
"Lapeer, MI",48910,50739,50575
"Leelanau, MI",73012,79109,81805
"Lenawee, MI",44325,47513,47538
"Livingston, MI",62417,67212,69299
"Luce, MI",40368,43331,42206
"Mackinac, MI",49480,52639,52074
"Macomb, MI",50883,53727,53817
"Manistee, MI",43321,46167,45533
"Marquette, MI",44162,47987,46466
"Mason, MI",45625,48399,47049
"Mecosta, MI",40832,44121,42483
"Menominee, MI",44375,47679,47289
"Midland, MI",56589,60150,60842
"Missaukee, MI",41073,44053,43667
"Monroe, MI",49721,52634,52998
"Montcalm, MI",37785,40752,40725
"Montmorency, MI",42569,43429,41440
"Muskegon, MI",43376,46019,45571
"Newaygo, MI",41767,44607,44140
"Oakland, MI",76404,81822,84850
"Oceana, MI",42975,45596,44970
"Ogemaw, MI",39412,42417,41120
"Ontonagon, MI",44613,46981,46661
"Osceola, MI",42881,45088,44549
"Oscoda, MI",37402,40879,40566
"Otsego, MI",45759,49550,48201
"Ottawa, MI",53553,59069,61018
"Presque Isle, MI",44900,46911,46239
"Roscommon, MI",42735,44507,43813
"Saginaw, MI",45686,48577,47700
"St. Clair, MI",49920,52388,52557
"St. Joseph, MI",42894,47116,46935
"Sanilac, MI",43832,46897,46189
"Schoolcraft, MI",45316,47491,44401
"Shiawassee, MI",44642,47595,47427
"Tuscola, MI",41683,44605,43797
"Van Buren, MI",46525,49479,49542
"Washtenaw, MI",64606,69892,71368
"Wayne, MI",46416,49009,48509
"Wexford, MI",41631,44683,43862
"Aitkin, MN",46769,50228,49907
"Anoka, MN",55673,59002,60371
"Becker, MN",51352,56258,57505
"Beltrami, MN",47070,51023,50351
"Benton, MN",49656,53384,54255
"Big Stone, MN",57554,65566,70199
"Blue Earth, MN",48273,51478,52838
"Brown, MN",56786,60005,62169
"Carlton, MN",46736,49897,50247
"Carver, MN",75745,82905,87095
"Cass, MN",50831,57731,55921
"Chippewa, MN",48306,54013,56075
"Chisago, MN",53893,57659,58812
"Clay, MN",46496,50745,50963
"Clearwater, MN",51331,54418,53431
"Cook, MN",55152,57393,56795
"Cottonwood, MN",54103,58588,63158
"Crow Wing, MN",48945,54674,52837
"Dakota, MN",63327,67665,69984
"Dodge, MN",52442,58319,59029
"Douglas, MN",55797,61045,62524
"Faribault, MN",47749,54044,55751
"Fillmore, MN",49719,53993,55598
"Freeborn, MN",48796,54069,55377
"Goodhue, MN",56574,61067,64004
"Grant, MN",53891,57464,62120
"Hennepin, MN",77672,86466,89851
"Houston, MN",54952,58340,60012
"Hubbard, MN",56054,59550,58593
"Isanti, MN",49420,52118,52421
"Itasca, MN",48304,51428,51540
"Jackson, MN",57918,61343,63573
"Kanabec, MN",49141,51166,49855
"Kandiyohi, MN",53706,57707,59505
"Kittson, MN",61578,66962,70075
"Koochiching, MN",47452,50426,52953
"Lac qui Parle, MN",56610,63800,69224
"Lake, MN",48975,53448,53022
"Lake of the Woods, MN",56985,59741,59614
"Le Sueur, MN",54860,59388,60691
"Lincoln, MN",50715,57383,60496
"Lyon, MN",54014,58409,60291
"McLeod, MN",52260,56852,57593
"Mahnomen, MN",41450,47862,48646
"Marshall, MN",65146,72553,75929
"Martin, MN",54004,60366,62814
"Meeker, MN",48659,52947,54758
"Mille Lacs, MN",47943,50859,51382
"Morrison, MN",46998,50615,51545
"Mower, MN",50841,52709,53835
"Murray, MN",61289,63830,67739
"Nicollet, MN",52901,56401,57972
"Nobles, MN",51209,54238,56111
"Norman, MN",49668,58749,59759
"Olmsted, MN",61338,66122,67547
"Otter Tail, MN",52985,55912,56751
"Pennington, MN",59311,65236,66187
"Pine, MN",42853,46100,45189
"Pipestone, MN",56510,63518,67463
"Polk, MN",53411,59211,58902
"Pope, MN",56394,61404,63742
"Ramsey, MN",57421,63856,65358
"Red Lake, MN",57302,68711,73275
"Redwood, MN",59845,68997,74117
"Renville, MN",55169,62335,64443
"Rice, MN",48029,52411,53548
"Rock, MN",55672,57570,61054
"Roseau, MN",53534,60501,61228
"St. Louis, MN",50553,55626,56572
"Scott, MN",65678,71730,75427
"Sherburne, MN",52264,55846,57102
"Sibley, MN",53591,58016,59859
"Stearns, MN",54121,58117,59296
"Steele, MN",50087,55493,54862
"Stevens, MN",55108,59873,65210
"Swift, MN",52260,59464,66769
"Todd, MN",43567,54237,55702
"Traverse, MN",66746,75016,85621
"Wabasha, MN",55911,59810,60826
"Wadena, MN",43551,47138,46673
"Waseca, MN",46760,53283,54858
"Washington, MN",71110,76380,79814
"Watonwan, MN",49424,55211,57027
"Wilkin, MN",57343,67295,70544
"Winona, MN",54757,55687,57508
"Wright, MN",56703,60392,62559
"Yellow Medicine, MN",60894,62577,66190
"Adams, MS",39569,45648,45499
"Alcorn, MS",41748,44193,44977
"Amite, MS",34858,38598,38352
"Attala, MS",39490,42979,42974
"Benton, MS",38670,42160,41473
"Bolivar, MS",41886,48200,46870
"Calhoun, MS",39742,43053,40370
"Carroll, MS",41184,45259,43091
"Chickasaw, MS",38361,40938,38994
"Choctaw, MS",37531,41494,40869
"Claiborne, MS",34072,37283,34993
"Clarke, MS",40434,42889,42841
"Clay, MS",42715,47800,47654
"Coahoma, MS",41240,46482,43389
"Copiah, MS",36560,39628,39091
"Covington, MS",39401,44187,44781
"DeSoto, MS",47190,51890,52264
"Forrest, MS",40128,42985,42294
"Franklin, MS",38871,40662,40035
"George, MS",37810,39462,38730
"Greene, MS",31376,33441,32650
"Grenada, MS",38849,43251,42556
"Hancock, MS",40802,44878,44384
"Harrison, MS",41786,46316,46211
"Hinds, MS",44309,47035,46854
"Holmes, MS",33075,37402,33929
"Humphreys, MS",39209,44369,39467
"Issaquena, MS",30808,36224,24489
"Itawamba, MS",38779,41844,41069
"Jackson, MS",41475,45875,45912
"Jasper, MS",41472,45041,47150
"Jefferson, MS",36308,39172,37639
"Jefferson Davis, MS",33080,36527,36150
"Jones, MS",40962,44633,46073
"Kemper, MS",35442,38474,37006
"Lafayette, MS",45888,49225,49498
"Lamar, MS",43774,48053,48473
"Lauderdale, MS",44162,47129,47116
"Lawrence, MS",38254,43032,44184
"Leake, MS",34832,40301,41790
"Lee, MS",47155,52406,52044
"Leflore, MS",42307,50036,46712
"Lincoln, MS",41303,44397,44609
"Lowndes, MS",43591,47941,48254
"Madison, MS",69053,76927,79410
"Marion, MS",39296,41250,41528
"Marshall, MS",41023,44391,42663
"Monroe, MS",40697,44289,43389
"Montgomery, MS",38396,42267,41475
"Neshoba, MS",40155,44273,45615
"Newton, MS",36842,41248,40283
"Noxubee, MS",37733,45202,40442
"Oktibbeha, MS",36752,39418,39127
"Panola, MS",38738,42386,40423
"Pearl River, MS",40812,43326,43108
"Perry, MS",35650,37591,36322
"Pike, MS",34165,37710,36311
"Pontotoc, MS",38578,42520,41472
"Prentiss, MS",35645,38465,37543
"Quitman, MS",35671,42673,38209
"Rankin, MS",48414,52636,53715
"Scott, MS",33274,38040,38488
"Sharkey, MS",43291,53238,46097
"Simpson, MS",40720,44942,45331
"Smith, MS",40289,45239,47234
"Stone, MS",37256,39762,39362
"Sunflower, MS",33719,37991,34856
"Tallahatchie, MS",35935,43085,38454
"Tate, MS",40853,44775,43334
"Tippah, MS",42488,44547,42820
"Tishomingo, MS",39063,41836,42280
"Tunica, MS",37682,43065,39641
"Union, MS",38025,41401,40800
"Walthall, MS",34888,38578,37585
"Warren, MS",45251,48589,48089
"Washington, MS",41199,45649,43492
"Wayne, MS",38064,42700,44185
"Webster, MS",41776,44969,43764
"Wilkinson, MS",34228,36909,35523
"Winston, MS",39149,43450,43763
"Yalobusha, MS",40318,42942,41940
"Yazoo, MS",33969,37590,34998
"Adair, MO",35518,36919,36808
"Andrew, MO",47008,50506,51102
"Atchison, MO",49495,53650,55136
"Audrain, MO",40405,43626,44123
