Location,2020,2021,2022
"Clay, AR",39407,44611,43534
"Cleburne, AR",45100,47640,48466
"Cleveland, AR",42243,47838,51226
"Columbia, AR",41393,44008,45298
"Conway, AR",41962,45958,47384
"Craighead, AR",42319,46746,46373
"Crawford, AR",38448,41293,41735
"Crittenden, AR",41433,45226,44072
"Cross, AR",40176,42803,41096
"Dallas, AR",43720,46351,47046
"Desha, AR",44694,49934,48207
"Drew, AR",42835,46141,46516
"Faulkner, AR",44624,47383,48161
"Franklin, AR",35810,40598,42047
"Fulton, AR",32534,34739,34007
"Garland, AR",45130,47762,48507
"Grant, AR",43066,45341,45847
"Greene, AR",38993,41554,41559
"Hempstead, AR",35619,40520,42949
"Hot Spring, AR",34928,37551,37659
"Howard, AR",36069,43359,47291
"Independence, AR",38571,43048,44216
"Izard, AR",32854,34443,34660
"Jackson, AR",42060,44141,45916
"Jefferson, AR",38360,41301,40786
"Johnson, AR",31868,35090,35505
"Lafayette, AR",40569,47346,49687
"Lawrence, AR",39109,40422,42271
"Lee, AR",33059,39589,35818
"Lincoln, AR",29553,33245,33042
"Little River, AR",38061,40902,41691
"Logan, AR",35622,39072,40841
"Lonoke, AR",45170,47982,48433
"Madison, AR",35138,43025,44395
"Marion, AR",33807,37115,36718
"Miller, AR",37613,40433,39978
"Mississippi, AR",37870,45431,43455
"Monroe, AR",39376,42735,40123
"Montgomery, AR",34862,37495,37923
"Nevada, AR",35352,39114,40501
"Newton, AR",35535,38339,37835
"Ouachita, AR",43455,46915,48100
"Perry, AR",40629,43323,44265
"Phillips, AR",40166,46476,44342
"Pike, AR",35391,40466,41288
"Poinsett, AR",39122,43231,42536
"Polk, AR",33975,37993,39652
"Pope, AR",37783,41393,41693
"Prairie, AR",40890,44301,43530
"Pulaski, AR",55665,60465,61575
"Randolph, AR",37003,40175,40964
"St. Francis, AR",33567,36972,35659
"Saline, AR",47277,51191,52328
"Scott, AR",33922,37889,39895
"Searcy, AR",31550,34618,33616
"Sebastian, AR",45266,47834,48381
"Sevier, AR",35628,41789,44850
"Sharp, AR",37085,41195,43728
"Stone, AR",34072,37248,36857
"Union, AR",50523,49854,51180
"Van Buren, AR",35851,39055,38450
"Washington, AR",44883,48826,48785
"White, AR",40817,43223,43574
"Woodruff, AR",45716,50500,50313
"Yell, AR",36843,41968,44030
"Alameda, CA",87561,98657,97754
"Alpine, CA",74088,69869,67551
"Amador, CA",47359,49980,48463
"Butte, CA",51308,56011,54974
"Calaveras, CA",54090,56723,56001
"Colusa, CA",56086,59102,55502
"Contra Costa, CA",86359,94834,95047
"Del Norte, CA",41477,44708,43677
"El Dorado, CA",74197,79736,82062
"Fresno, CA",48095,51692,50549
"Glenn, CA",49494,52251,51055
"Humboldt, CA",50271,54214,54043
"Imperial, CA",45565,48228,45188
"Inyo, CA",59712,60944,61501
"Kern, CA",44490,46651,44862
"Kings, CA",41185,43818,42525
"Lake, CA",44016,46852,45623
