location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
United Arab Emirates,716105700.0,1064237.0,1063826.441,1865492.0,2349.0,2349.032,75849510.924,112723.383,112679.85,197591.911,248.806,248.759,1040.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49581932031.0,168522672.0,5294305.363,17994.669,167613743.0,17897.602,6.1889,525828.9,5667655630.0,1135911529.0,1580391817.0,486320603.0,20138062.0,24207186.0,60031.42,12031.57,16739.47,5151.06,2564010.0,9334698.0,98.904,48483.12,137516.566,41582.0,1399.1119999999999,643.298,82299929.70899999,0.0,388718.31999999995,21108.980000000003,1467.6,45740.2,0.0,1467.6,95357.31,1088.47,11546511774.0,43573.4036,341.94,474.86,4659.9256274
United Kingdom,13576487698.0,24598502.0,24595329.712,173385601.0,227099.0,226997.856,201106527.544,364374.014,364327.006,2568335.558,3363.989,3362.471,1094.58,703291.0,10417.734,10808814.0,160109.372,0.0,0.0,6650695.0,98515.766,144400410838.0,502482746.0,2146227.393,7468.42,502238534.0,7464.789,35.6673,59471.3,60602545936.0,27170750877.0,22406273158.0,10946584376.0,148342453.0,149171264.0,89769.82,40247.56,33190.07,16215.02,2209638.0,52107340.0,77.173,47203.479999999996,333754.254,49898.399999999994,22646.291,15320.520999999999,48618217.412,244.60000000000002,149373.551,5234.4400000000005,24460.0,30208.1,0.0,3106.42,99454.35999999999,1139.836,82563428728.0,19390552.78211,1855.76,1745.03,287540.1577021
United States,59264660098.0,103343569.0,103321521.858,778355618.0,1125209.0,1124881.552,175188995.589,305488.234,305423.067,2300854.124,3326.168,3325.187,1117.69,10053963.0,29719.96,45978409.0,135914.228,0.0,0.0,44476725.0,131475.211,344724615229.0,912769124.0,1022928.909,2708.543,911456798.0,2704.632,71.153,13991.6,414280853474.0,187900546208.0,159458503795.0,31025375373.0,676683162.0,676752536.0,124780.08,56595.02,48028.48,9344.76,2038357.0,270362757.0,81.43,53049.96,43548.583999999995,46840.899999999994,18850.099000000002,11902.235999999999,66317720.458000004,1467.6,184781.847,13196.169999999998,23359.300000000003,30085.800000000003,0.0,3387.71,96445.78,1132.498,413728493888.0,126571134.2493,2233.98,2210.5,374370.206416
United States Virgin Islands,12216578.0,24938.0,24933.139,78733.0,131.0,130.789,122805597.19,250686.071,250637.309,791453.369,1316.849,1313.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46075644.0,115079.0,460337.526,1149.763,114958.0,1148.532,70.748,15110.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374825.04000000004,51610.600000000006,22749.022999999997,13207.177,0.0,0.0,334698.41000000003,14993.98,0.0,0.0,0.0,0.0,98549.34,0.0,121662817.0,0.0,0.0,0.0,0.0
Upper middle income,101400221076.0,243652991.0,243626908.872,1887167577.0,2657977.0,2657737.551,40143856.076,96461.043,96450.696,747120.489,1052.28,1052.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3189785953036.0,1328021687726.0,1188005111630.0,550129759566.0,5434060910.0,5433462860.0,126282.02,52575.64,47032.61,21779.42,2151088.0,1500520829.0,59.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3089201749900.0,0.0,0.0,0.0,0.0
Uruguay,560096909.0,1037893.0,1037892.975,5082773.0,7625.0,7625.023,163637245.412,303229.577,303229.542,1484976.9,2227.7019999999998,2227.694,1033.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572780600.0,6086630.0,459037.149,1776.484,6077994.0,1773.957,62.2276,53592.4,4168607771.0,1636262216.0,1510874793.0,1003469993.0,8780610.0,8845801.0,121789.54,47804.83,44141.6,29317.22,2584425.0,3033610.0,88.635,41059.33,24155.473,43538.8,17923.065,12671.503,25134373.207,122.30000000000001,196545.884,8475.39,17122.0,24337.699999999997,0.0,3424.3999999999996,95283.93,999.1909999999999,4186079508.0,116490.9975,82.92,275.45,34034.809697000004
Uzbekistan,95882166.0,170400.0,170312.871,603076.0,1016.0,1015.994,2768948.266,4920.922,4918.4,17416.174,29.341,29.372,1046.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4108101150.0,1472376260.0,541879552.0,226765695.0,15127072.0,77229364.0,11863.64,4251.98,1564.89,654.87,2230306.0,21876206.0,63.205,42374.71,93111.882,34488.6,5465.587,3513.679,7647546.192000001,0.0,885961.991,9258.11,1589.9,30208.1,0.0,4892.0,87713.56,880.56,42349613504.0,1147910.42206,379.34,430.51,33287.5691033
Vanuatu,4507390.0,12016.0,12016.039,5425.0,14.0,14.007,13794866.78,36774.957,36774.948,16603.209,42.846,42.833,186.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23446.0,0.0,73.467,0.0,76.0,0.238,0.0132,76.0,5057249.0,2925292.0,2114014.0,146577.0,0.0,364967.0,1547.76,895.26,647.0,44.89,1116951.0,176122.0,53.964999999999996,32053.05,27715.626,28251.300000000003,5373.862,3204.26,3573494.707,16143.599999999999,668124.8999999999,14700.46,3424.3999999999996,42193.5,30830.607,0.0,86184.81,744.807,399607912.0,0.0,0.0,0.0,0.0
Vatican,26618.0,26.0,26.012,0.0,0.0,0.0,32943069.449,32178.219,32178.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91871.76000000001,0.0,988184.0,0.0,0.0,0.0,0.0
Venezuela,373315279.0,552695.0,552661.554,4070919.0,5856.0,5856.025,13190560.232,19528.675,19527.474,143840.095,206.913,206.85,1065.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347134856.0,207766079.0,129043054.0,1915968.0,0.0,37861146.0,1226.54,734.11,455.95,6.76,1337771.0,22157367.0,78.314,60500.78,44337.419,35467.0,8088.922,4788.045,20479161.906,0.0,250531.55,7912.8099999999995,0.0,0.0,0.0,978.4000000000001,88129.38,869.553,34612979100.0,0.0,0.0,0.0,0.0
Vietnam,5007332516.0,11573931.0,11569911.256,23798287.0,43196.0,43194.557,50997992.196,117876.582,117835.63,242377.434,439.93399999999997,439.908,958.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12473104912.0,29193899.0,127971.245,299.525,38599890.0,396.027,44.5743,3855.6,41119239169.0,16965552891.0,10164836893.0,4466597986.0,140207439.0,266294418.0,41878.55,17278.88,10352.57,4549.1,2712117.0,90258251.0,91.988,59932.35,376839.321,39869.8,8744.45,5770.114,7548214.132,2446.0,300203.695,7338.0,1223.0,56135.7,104990.881,3179.8,92214.20000000001,860.992,120082524888.0,0.0,0.0,0.0,0.0
Wales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34850.0,10993.673,577362.0,182133.124,0.0,0.0,302024.0,95275.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4729778020.0,1633813330.0,1544612735.0,1249207887.0,8489386.0,8737536.0,149204.41,51539.79,48726.01,39407.2,2756325.0,2529620.0,79.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3601120000.0,0.0,0.0,0.0,0.0
Wallis and Futuna,996645.0,3427.0,3427.004,4984.0,7.0,7.0,85947309.487,295532.945,295532.958,429803.072,603.656,603.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483705.0,206156.0,174371.0,23201.0,0.0,17541.0,4171.33,1777.79,1503.74,200.07,1512580.0,6658.0,57.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97766.62,0.0,14181908.0,0.0,0.0,0.0,0.0
Western Sahara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3943.0,0.0,6.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.26,0.0,576005.0,0.0,0.0,0.0,0.0
World,367406653067.0,765022975.0,764848845.301,4850719139.0,6936406.0,6935053.877,46069193.029,95926.379,95904.563,608232.661,869.753,869.587,1151.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7396996076182.0,3338621205286.0,2868549032808.0,1117803615820.0,13469210708.0,13461357389.0,92750.98,41863.05,35968.75,14016.09,1687921.0,4967385760.0,62.279,0.0,70989.035,37790.7,10635.208,6549.165000000001,18918840.161000002,12230.0,285044.61,10407.73,7868.782,42358.604999999996,73538.99,3308.215,88765.34,901.351,9753553444352.0,0.0,0.0,0.0,0.0
Yemen,8586089.0,11945.0,11944.989,1642873.0,2159.0,2159.045,254805.775,354.488,354.466,48754.858,64.071,64.008,674.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666529.0,0.0,20.209,0.0,6804.0,0.243,0.5865,11988.8,32366638.0,27145128.0,16186119.0,689166.0,0.0,1271912.0,96.07,80.56,48.03,2.04,37706.0,1028540.0,3.132,27892.29,65440.284,24826.9,3573.606,1936.009,1808996.781,22992.4,605388.669,6543.049999999999,9294.8,35711.6,60589.866,856.0999999999999,80864.76000000001,574.81,41210956476.0,0.0,0.0,0.0,0.0
Zambia,216290779.0,343911.0,343910.701,2871705.0,4058.0,4058.068,10804992.727,17180.367,17180.401,143458.572,202.732,202.678,908.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228012217.0,3412336.0,63061.887,175.224,3507740.0,180.123,58.2685,45478.5,619078421.0,86038560.0,390984133.0,85147.0,2517495.0,13318727.0,3092.62,429.83,1953.19,0.43000000000000005,665366.0,11666324.0,58.292,34843.520000000004,28122.885000000002,21647.1,3033.04,1885.866,4511953.973,70322.5,286792.277,4818.62,3791.3,30208.1,17046.174,2446.0,78137.47,714.232,24481610410.0,0.0,0.0,0.0,0.0
Zimbabwe,156143495.0,264766.0,264742.277,3797737.0,5688.0,5687.432,9567300.127,16222.873,16221.452,232696.782,348.519,348.599,928.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473769880.0,1869683.0,29622.613,116.893,2363040.0,147.751,56.9958,28954.7,3211422214.0,1797750343.0,1286931352.0,126740519.0,10801392.0,12221738.0,19677.11,11015.34,7885.36,776.56,748853.0,6438473.0,39.449,63858.23,52257.566999999995,23970.800000000003,3451.306,2301.6859999999997,2323424.825,26172.199999999997,376495.658,2225.86,1956.8000000000002,37546.1,44995.393,2079.1,75202.27,698.333,19960019197.0,0.0,0.0,0.0,0.0
