location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Switzerland,2174532127.0,4403491.0,4403200.736,11040524.0,14015.0,14013.530999999999,248788895.596,503804.774,503771.523,1263149.792,1603.462,1603.333,1146.15,149218.0,17072.073,1030447.0,117893.758,0.0,0.0,445027.0,50915.666,6507513712.0,21277734.0,748729.697,2448.13,21239392.0,2443.728,104.544,20178.7,10029861293.0,4147923495.0,0.0,2024191259.0,16902413.0,16939612.0,114751.88,47456.59,0.0,23158.32,1938080.0,6097269.0,69.725,39848.43,262019.18899999998,52711.3,22547.228,15463.612000000001,70212633.01799999,0.0,121980.797,6836.57,27639.800000000003,35344.7,0.0,5540.1900000000005,102462.94,1167.965,10689596033.0,1572794.303346,1060.9,1401.2,180065.315834
Syria,38598773.0,57423.0,57423.037,2249417.0,3163.0,3163.027,1744558.16,2595.363,2595.369,101667.479,142.959,142.968,929.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320996.0,0.0,61.947,0.0,18638.0,0.856,6.3406,3886.5,140039978.0,85472526.0,56994908.0,775923.0,102423.0,5086916.0,632.9399999999999,386.31,257.6,3.49,229965.0,3293030.0,14.85,41113.57,0.0,26539.1,0.0,3151.671,0.0,0.0,460170.87200000003,0.0,0.0,0.0,86341.35399999999,1834.5,88912.1,693.4409999999999,27059170966.0,0.0,0.0,0.0,0.0
Taiwan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042351429.0,13021521.0,85597.611,545.749,12822177.0,537.397,41.251,608336.6,22306527162.0,9029255073.0,7452355866.0,5803132908.0,51180197.0,67952294.0,93358.48,37789.6,31189.94,24287.62,2843983.0,21891818.0,91.623,32602.42,0.0,51146.4,0.0,10123.836,0.0,0.0,125995.88399999999,0.0,0.0,0.0,0.0,0.0,97517.51999999999,0.0,28958795952.0,68306.381,-30.04,181.54,2844.940577
Tajikistan,16336329.0,17786.0,17786.013,116594.0,125.0,125.05499999999999,1641382.134,1787.0339999999999,1787.037,11714.476999999999,12.552999999999999,12.565,372.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303914159.0,148230913.0,116546136.0,28379100.0,124745.0,20212745.0,3053.57,1489.34,1171.02,285.15,2030821.0,5258385.0,52.881,30556.24,78615.663,28495.9,4238.918000000001,2635.5649999999996,3542924.599,5870.4,523074.654,8695.53,0.0,0.0,88916.992,5870.4,86955.29999999999,816.964,12172260947.0,395905.1915,776.66,582.6800000000001,40331.919496
Tanzania,23025261.0,43078.0,43077.986,525219.0,846.0,846.013,351542.619,657.707,657.706,8018.932,12.917,12.929,160.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883449.0,0.0,13.894,0.0,22088.0,0.352,0.8782,597.7,573246506.0,480657979.0,434252339.0,7171363.0,0.0,39122899.0,875.1899999999999,733.85,662.99,10.95,597300.0,34165371.0,52.144,16391.95,79126.877,21647.1,3801.0840000000003,2291.902,3281680.792,60049.3,265743.224,7032.25,4035.8999999999996,32654.1,58646.519,856.0999999999999,80057.57999999999,646.967,80103750696.0,0.0,0.0,0.0,0.0
Thailand,2379839025.0,4734001.0,4733515.529,17697478.0,34027.0,34024.17,33192995.916,66027.86,66021.143,246837.03,474.59499999999997,474.56,1010.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6881075207.0,24733801.0,96102.91100000001,345.445,24705463.0,345.046,95.4466,329401.5,45547040066.0,20650399200.0,17723350033.0,7173290714.0,127294606.0,142571962.0,63527.02,28802.28,24719.82,10004.95,1988538.0,57004138.0,79.508,47088.34,165266.43600000002,49042.3,13909.179,8426.47,19907591.633,122.30000000000001,134360.003,8609.92,2323.7,47452.399999999994,110889.41,2568.3,94354.45000000001,950.2710000000001,87685460352.0,2253715.520372,187.97,396.61,31426.99987996
Timor,14826871.0,23431.0,23430.179,82982.0,138.0,138.04,11054121.412,17468.907,17468.371,61866.884,102.897,102.984,611.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7410803.0,9154.0,5610.24,6.93,118876.0,89.939,20.9964,43880.0,104572272.0,53488481.0,42510380.0,8509339.0,7881.0,2019051.0,7796.33,3987.84,3169.33,634.4,1505267.0,885596.0,66.03,39715.92,106616.248,22014.0,4348.988,2320.031,8035234.746,37056.9,410128.158,8389.78,7704.9,95516.29999999999,34461.694,7215.700000000001,84998.5,741.138,1640407454.0,0.0,0.0,0.0,0.0
Togo,25087049.0,39490.0,39488.826,203624.0,290.0,290.05899999999997,2835111.228,4462.796,4462.65,23011.718,32.77,32.711,996.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233029500.0,708063.0,26955.951,81.897,747206.0,86.43900000000001,31.2787,54347.0,100432256.0,77044297.0,36105505.0,4743336.0,0.0,3412975.0,1135.0,870.7,408.01,53.55,385707.0,2256041.0,25.503,47712.14,175336.61800000002,23726.199999999997,3472.0969999999998,1865.0749999999998,1748661.299,60171.600000000006,342480.359,7521.450000000001,1100.7,17366.6,12810.925,856.0999999999999,74651.92,629.845,10821960100.0,0.0,0.0,0.0,0.0
Tokelau,725.0,5.0,4.997999999999999,0.0,0.0,0.0,382989.95,2641.31,2641.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18977.0,9264.0,6915.0,2798.0,0.0,5394.0,1002.48,489.38,365.3,147.82,2849547.0,2153.0,113.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100114.78,0.0,2315139.0,0.0,0.0,0.0,0.0
Tonga,5992598.0,16816.0,16815.444,4806.0,12.0,12.004999999999999,56075289.825,157354.468,157349.143,44971.769,112.289,112.294,164.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4640848.0,2378871.0,1794621.0,467356.0,0.0,202816.0,4342.62,2226.02,1679.31,437.34000000000003,1897791.0,86357.0,80.811,49983.4,183484.24399999998,27272.9,7117.860000000001,4931.136,6635534.483,0.0,278220.27,18858.66,14431.400000000001,54301.2,0.0,3179.8,86722.93,886.675,130698341.0,0.0,0.0,0.0,0.0
Trinidad and Tobago,94797002.0,191496.0,191454.269,2334967.0,4390.0,4389.157,61916616.266,125075.52,125048.292,1525082.538,2867.325,2866.794,921.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190374458.0,666279.0,124781.464,436.717,695266.0,455.71,106.37,6480.8,500570767.0,258608778.0,230048296.0,31937349.0,1512567.0,1580929.0,32694.72,16891.09,15025.72,2085.98,1032590.0,753721.0,49.218,57144.65,326401.57800000004,44272.600000000006,12247.122,7116.637,35177235.833,0.0,279415.141,13416.310000000001,0.0,0.0,109388.789,3669.0,89902.73000000001,973.508,1872465589.0,0.0,0.0,0.0,0.0
Tunisia,712927289.0,1152877.0,1152801.347,20343026.0,29398.0,29394.905,57698332.511,93304.159,93298.027,1646393.258,2379.234,2379.004,976.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482053473.0,1001807.0,39309.758,81.692,3517290.0,286.814,74.3463,4960.5,2476376925.0,1450545118.0,1248711105.0,135777776.0,8546870.0,13251828.0,20041.65,11739.57,10105.97,1098.88,1072504.0,7221164.0,58.483,54108.659999999996,90780.844,39992.100000000006,9785.223,6206.725,13268690.231,2446.0,390125.99299999996,10419.96,1345.3000000000002,80473.4,96234.201,2812.8999999999996,93804.1,905.02,15111529868.0,698081.59178,352.27,444.93,56528.520284
Turkey,9926034747.0,17004677.0,17004676.976,68796617.0,101419.0,101419.003,116309932.009,199255.077,199255.07,806135.644,1188.394,1188.397,868.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47891178076.0,163164533.0,564918.319,1924.6680000000001,162725613.0,1919.488,54.9566,21687.1,63145737970.0,27362183245.0,23414134440.0,12319682866.0,149899771.0,153268179.0,73992.07,32062.03,27435.85,14435.85,1795939.0,55455548.0,64.976,46169.4,128309.822,38646.8,9971.119,6189.603,30733184.043,244.60000000000002,209481.555,14834.990000000002,17244.3,50265.3,0.0,3436.63,95014.87,1002.8599999999999,104372346304.0,4095227.742,441.92,617.5699999999999,48115.012139
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28519069.0,6361708.0,6297932.0,3606352.0,0.0,14934450.0,443.47,98.92,97.92999999999999,56.08,2322327.0,3985374.0,61.896,53542.33,14985.419,32898.7,5230.771,3107.643,20043775.129,0.0,656485.609,8695.53,0.0,0.0,122300.0,9050.2,83396.37,874.4449999999999,7864840271.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,4042232.0,6588.0,6581.478,25187.0,38.0,38.031,88401172.127,144075.587,143931.868,550824.35,831.03,831.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1374005.0,723624.0,603621.0,14715.0,0.0,74803.0,3004.88,1582.52,1320.09,32.18,1635858.0,33365.0,73.026,0.0,45632.575999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98109.06,0.0,55922898.0,0.0,0.0,0.0,0.0
Tuvalu,488607.0,2779.0,2778.993,0.0,0.0,0.0,43106043.230000004,245169.829,245169.827,0.0,0.0,0.0,16.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156452.0,78641.0,58351.0,16552.0,0.0,24473.0,1380.25,693.79,514.78,146.02,2159159.0,7398.0,65.28999999999999,0.0,456260.941,0.0,0.0,0.0,4372352.192,4035.8999999999996,0.0,33326.75,0.0,0.0,0.0,0.0,82638.10999999999,0.0,13862705.0,0.0,0.0,0.0,0.0
Uganda,113940408.0,170775.0,170745.282,2417291.0,3632.0,3632.02,2411458.245,3614.317,3613.689,51160.015999999996,76.857,76.797,785.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694072765.0,2120320.0,15136.657,46.251,2742766.0,59.83,39.6461,118945.9,758026351.0,517404301.0,293598144.0,5569015.0,704976.0,26407985.0,1604.32,1095.05,621.37,11.81,558912.0,19861206.0,42.041,58925.79,261427.25699999998,20057.199999999997,2651.4640000000004,1599.684,2076295.661,50876.8,260906.259,3057.5,4158.2,20424.1,25954.506,611.5,77501.51,665.312,57786246124.0,0.0,0.0,0.0,0.0
Ukraine,3339986040.0,5502704.0,5500814.841,70692322.0,109707.0,109689.533,84126935.079,138601.061,138553.452,1780584.818,2763.278,2762.826,986.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268844857.0,13377389.0,98063.524,307.296,19091857.0,438.58,132.9116,5287.0,4271960957.0,2348040509.0,1879694834.0,17766414.0,31551877.0,31633419.0,10760.14,5914.2,4734.51,44.78,796775.0,15739948.0,39.651,45478.94,94647.97,50632.2,20133.025999999998,13615.659,9654842.639,122.30000000000001,660235.327,8695.53,16510.5,57970.2,0.0,10762.400000000001,88129.38,952.717,48555232912.0,1325627.1922,117.11,375.69,30851.95353
